7001,0,1,0,1,43,11,36,21,248,8,0,4,5,6,5,0,11,17,12,11,116,86,28
7002,3,0,1,1,93,22,33,29,754,8,0,2,11,19,11,0,15,35,32,12,168,150,26
7003,18,0,2,1,46,9,37,29,366,0,0,4,3,6,16,0,12,19,25,17,157,117,44
7004,0,0,0,1,68,17,36,12,575,4,1,5,2,2,5,0,14,19,19,8,121,116,28
7005,0,0,0,0,9,1,12,7,144,0,0,1,1,0,1,0,0,17,11,4,28,28,10
7006,0,0,0,0,32,1,7,7,145,4,0,4,0,8,1,0,5,10,10,5,38,34,14
7007,1,0,0,0,50,618,9,2,79,0,0,1,0,0,0,0,1,22,2,0,12,24,6
7008,0,1,0,0,78,9,39,91,622,9,1,5,13,6,8,0,26,31,24,14,150,171,25
7009,89,0,2,0,127,23,56,260,827,27,3,14,20,19,42,0,43,64,74,30,347,362,37
7010,0,0,0,0,7,0,0,0,17,0,0,1,0,1,0,0,1,5,2,0,8,4,9
7011,0,0,0,0,9,2,5,1,92,0,0,2,0,1,0,0,3,4,5,1,24,22,11
7012,1,0,3,1,541,20,56,31,851,5,0,7,12,31,16,0,22,37,51,20,157,233,28
7013,0,0,1,1,58,10,29,39,633,10,0,5,10,18,11,0,26,35,36,21,138,162,45
7014,0,0,0,0,12,4,9,5,207,1,0,2,0,1,0,0,4,11,7,3,27,32,8
7015,0,0,2,1,62,13,36,17,645,7,1,6,13,6,10,0,31,38,45,17,135,254,34
7016,23,0,1,1,16,4,7,10,141,3,0,2,1,1,1,0,9,9,13,2,43,44,19
7017,3,0,0,4,187,60,152,65,1687,26,4,13,41,51,42,0,65,83,113,48,401,530,60
7018,0,0,0,0,61,4,11,8,131,1,0,0,1,0,1,0,2,8,10,2,41,29,7
7019,3,1,3,45,455,229,319,274,5290,62,6,27,75,113,243,0,200,181,340,132,1224,1572,150
7020,16,0,0,1,72,7,28,23,424,1,10,4,5,5,6,0,12,22,20,10,131,121,22
7021,0,0,1,0,50,10,20,23,387,12,1,9,9,1,7,0,10,28,32,8,126,107,39
7022,0,0,0,0,8,3,5,1,111,1,0,2,0,0,0,0,1,4,9,3,25,20,9
